NAME,ALT_NAME,OTHER_NAMES,MCXC_RA,MCXC_DEC,MCXC_REDSHIFT,CATALOG_NAME,SUB_CATALOG_NAME,LINEAR_SCALE_FACTOR,LX_500,MASS_500,RADIUS_500,NOTES,OVERLAP_CAT_1,OVERLAP_CAT_2,OVERLAP_CAT_3,OVERLAP_CAT_4,LX_RATIO_CAT_1,LX_RATIO_CAT_2,LX_RATIO_CAT_3,LX_RATIO_CAT_4,LoVoCCSID
MCXC J1523.0+0836,"RXC J1523.0+0836  ","A2063                                                 ",230.7725,8.6025,0.0355,NORAS/REFLEX,"NORAS       ",0.706,1.138819E44,2.1598000000000003E14,0.902,,"BCS         ",,,,1.111,,,,117
MCXC J1659.7+3236,"RXC J1659.7+3236  ","A2241,B                                               ",254.9367,32.6136,0.1013,NORAS/REFLEX,"NORAS       ",1.865,1.121587E44,2.0454E14,0.8673,,"BCS         ",,,,1.007,,,,118
MCXC J0821.0+0751,"RXC J0821.0+0751  ","RX J0820.9+0751                                       ",125.2575,7.8661,0.11,NORAS/REFLEX,"NORAS       ",2.006,1.1109690000000001E44,2.0211E14,0.8614,,"eBCS        ",,,,1.071,,,,119
MCXC J2205.6-0535,"RXC J2205.6-0535  ","A2415                                                 ",331.4187,-5.5933,0.0582,NORAS/REFLEX,"REFLEX      ",1.127,1.108636E44,2.0924999999999997E14,0.8862,"B                                         ","SGP         ",,,,0.938,,,,120
MCXC J0330.0-5235,"RXC J0330.0-5235  ","A3128                                                 ",52.5029,-52.5961,0.0624,NORAS/REFLEX,"REFLEX      ",1.202,1.1016820000000001E44,2.0785999999999997E14,0.8831,"DL,two maxima/NE-SW                       ",,,,,,,,,121
MCXC J1027.9-0647,"RXC J1027.9-0647  ","A1023                                                 ",156.9983,-6.7961,0.1176,NORAS/REFLEX,"REFLEX      ",2.126,1.0959410000000002E44,1.9936E14,0.8553,"X *                                       ",,,,,,,,,122
MCXC J1254.6-2913,"RXC J1254.6-2913  ","A3528S                                                ",193.6725,-29.2233,0.0544,NORAS/REFLEX,"REFLEX      ",1.058,1.093054E44,2.0799E14,0.8855,"PB,GR4                                    ",,,,,,,,,123
MCXC J1113.3+0231,"RXC J1113.3+0231  ","A1205                                                 ",168.3363,2.5322,0.078,NORAS/REFLEX,"NORAS       ",1.476,1.0900820000000001E44,2.0432E14,0.8736,,,,,,,,,,124
MCXC J0759.7+5400,"RXC J0759.7+5400  ","Zw 0755.8+5408                                        ",119.9283,54.0017,0.1032,NORAS/REFLEX,"NORAS       ",1.896,1.08801E44,2.0052E14,0.861,,"BCS         ",,,,1.045,,,,125
MCXC J0011.3-2851,"RXC J0011.3-2851  ","A2734                                                 ",2.8363,-28.855,0.062,NORAS/REFLEX,"REFLEX      ",1.195,1.086002E44,2.0611E14,0.8807,"losStr                                    ","SGP         ",,,,0.914,,,,126
MCXC J2145.9-1006,"RXC J2145.9-1006  ","A2377                                                 ",326.4783,-10.1044,0.0808,NORAS/REFLEX,"REFLEX      ",1.524,1.0851180000000002E44,2.0336E14,0.8715,"P,GR9                                     ",,,,,,,,,127
MCXC J0425.8-0833,"RXC J0425.8-0833  ","RBS 0540                                              ",66.4642,-8.5592,0.0397,NORAS/REFLEX,"REFLEX      ",0.786,1.080714E44,2.0861E14,0.8905,"X                                         ",,,,,,,,,128
MCXC J2350.5+2931,"ZwCl9077          ","ZwCl9077                                              ",357.6442,29.5311,0.095,"BCS         ","BCS         ",1.762,1.0748180000000002E44,2.0019E14,0.8629,,"EMSS_1994   ",,,,1.268,,,,129
MCXC J1111.6+4050,"RXC J1111.6+4050  ","A1190                                                 ",167.9104,40.8425,0.0794,NORAS/REFLEX,"NORAS       ",1.5,1.06392E44,2.0112E14,0.8687,,"BCS         ",,,,0.661,,,,130
MCXC J0910.6-1034,"RXC J0910.6-1034  ","A0761                                                 ",137.6513,-10.5811,0.0916,NORAS/REFLEX,"REFLEX      ",1.706,1.063423E44,1.9936E14,0.8627,,,,,,,,,,131
MCXC J0155.1+3355,"RXC J0155.1+3355  ","A0272                                                 ",28.7896,33.9222,0.0872,NORAS/REFLEX,"NORAS       ",1.632,1.052481E44,1.9872E14,0.863,"B                                         ","BCS         ",,,,1.716,,,,132
MCXC J2359.3-6042,"RXC J2359.3-6042  ","A4067                                                 ",359.83,-60.7,0.0989,NORAS/REFLEX,"REFLEX      ",1.826,1.0515390000000002E44,1.9699E14,0.8572,,,,,,,,,,133
MCXC J2158.4-6023,"RXC J2158.4-6023  ","A3825                                                 ",329.6133,-60.3994,0.075,NORAS/REFLEX,"REFLEX      ",1.424,1.0502670000000002E44,2.0015E14,0.8685,"losStr                                    ",,,,,,,,,134
MCXC J1353.0+0509,"RXC J1353.0+0509  ","A1809                                                 ",208.2542,5.155,0.0788,NORAS/REFLEX,"NORAS       ",1.489,1.0446580000000002E44,1.9898E14,0.8657,,"BCS         ",,,,0.804,,,,135
MCXC J0049.8+2426,"A104              ","A0104                                                 ",12.4521,24.4411,0.0815,"BCS         ","BCS         ",1.536,1.04296E44,1.9841E14,0.8641,,,,,,,,,,136
MCXC J2347.7-2808,"RXC J2347.7-2808  ","A4038                                                 ",356.93,-28.1414,0.03,NORAS/REFLEX,"REFLEX      ",0.601,1.029501E44,2.0383E14,0.8863,"L                                         ","SGP         ",,,,0.903,,,,137
MCXC J0314.3-4525,"RXC J0314.3-4525  ","A3104                                                 ",48.5825,-45.4242,0.0718,NORAS/REFLEX,"REFLEX      ",1.368,1.027456E44,1.9792E14,0.8662,,"SGP         ",,,,0.899,,,,138
MCXC J1413.7+4339,"RXC J1413.7+4339  ","A1885                                                 ",213.4313,43.6633,0.089,NORAS/REFLEX,"NORAS       ",1.662,1.02386E44,1.9516E14,0.8573,,"BCS         ",,,,1.349,,,,139
MCXC J2125.2-0657,"RXC J2125.2-0657  ",,321.3017,-6.9656,0.1153,NORAS/REFLEX,"REFLEX      ",2.09,1.0188470000000002E44,1.91E14,0.8438,,,,,,,,,,140
MCXC J1359.2+2758,"RXC J1359.2+2758  ","A1831                                                 ",209.8229,27.9728,0.0612,NORAS/REFLEX,"NORAS       ",1.181,1.016556E44,1.9807E14,0.8693,,"BCS         ",,,,0.994,,,,141
MCXC J0448.2-2028,"RXC J0448.2-2028  ","A0514                                                 ",72.0508,-20.4697,0.072,NORAS/REFLEX,"REFLEX      ",1.372,1.004022E44,1.9513E14,0.862,"losStr                                    ",,,,,,,,,142
MCXC J2323.8+1648,"A2589             ","A2589                                                 ",350.9729,16.8089,0.0416,"BCS         ","BCS         ",0.821,1.0020260000000001E44,1.9896E14,0.876,,,,,,,,,,143
MCXC J1416.8-1158,"RXC J1416.8-1158  ",,214.2146,-11.9761,0.0982,NORAS/REFLEX,"REFLEX      ",1.815,1.0016480000000003E44,1.9133E14,0.8491,"X                                         ",,,,,,,,,144
MCXC J1459.0-0843,"RXC J1459.0-0843  ",,224.7646,-8.725,0.1043,NORAS/REFLEX,"REFLEX      ",1.914,1.001337E44,1.9047E14,0.8461,,,,,,,,,,145
MCXC J0041.7+2124,"RXC J0041.7+2124  ","A0084                                                 ",10.4462,21.4139,0.1014,NORAS/REFLEX,"NORAS       ",1.867,1.0000119999999999E44,1.9071E14,0.8473,,"BCS         ",,,,1.377,,,,146
